runes	points	aliases	keywords
1F600	128512	grinning	face
1F600	128512	grinning	grin
1F600	128512	grinning	grinning face
1F600	128512	grinning	smile
1F600	128512	grinning	happy
1F600	128512	grinning_face	face
1F600	128512	grinning_face	grin
1F600	128512	grinning_face	grinning face
1F600	128512	grinning_face	smile
1F600	128512	grinning_face	happy
1F601	128513	grin	beaming face with smiling eyes
1F601	128513	grin	eye
1F601	128513	grin	face
1F601	128513	grin	grin
1F601	128513	grin	smile
1F601	128513	beaming_face_with_smiling_eyes	beaming face with smiling eyes
1F601	128513	beaming_face_with_smiling_eyes	eye
1F601	128513	beaming_face_with_smiling_eyes	face
1F601	128513	beaming_face_with_smiling_eyes	grin
1F601	128513	beaming_face_with_smiling_eyes	smile
1F602	128514	joy	face
1F602	128514	joy	face with tears of joy
1F602	128514	joy	joy
1F602	128514	joy	laugh
1F602	128514	joy	tear
1F602	128514	joy	tears
1F602	128514	face_with_tears_of_joy	face
1F602	128514	face_with_tears_of_joy	face with tears of joy
1F602	128514	face_with_tears_of_joy	joy
1F602	128514	face_with_tears_of_joy	laugh
1F602	128514	face_with_tears_of_joy	tear
1F602	128514	face_with_tears_of_joy	tears
1F923	129315	rofl	face
1F923	129315	rofl	floor
1F923	129315	rofl	laugh
1F923	129315	rofl	rolling
1F923	129315	rofl	rolling on the floor laughing
1F923	129315	rofl	lol
1F923	129315	rofl	laughing
1F923	129315	rolling_on_the_floor_laughing	face
1F923	129315	rolling_on_the_floor_laughing	floor
1F923	129315	rolling_on_the_floor_laughing	laugh
1F923	129315	rolling_on_the_floor_laughing	rolling
1F923	129315	rolling_on_the_floor_laughing	rolling on the floor laughing
1F923	129315	rolling_on_the_floor_laughing	lol
1F923	129315	rolling_on_the_floor_laughing	laughing
1F603	128515	smiley	face
1F603	128515	smiley	grinning face with big eyes
1F603	128515	smiley	mouth
1F603	128515	smiley	open
1F603	128515	smiley	smile
1F603	128515	smiley	happy
1F603	128515	smiley	joy
1F603	128515	smiley	haha
1F603	128515	grinning_face_with_big_eyes	face
1F603	128515	grinning_face_with_big_eyes	grinning face with big eyes
1F603	128515	grinning_face_with_big_eyes	mouth
1F603	128515	grinning_face_with_big_eyes	open
1F603	128515	grinning_face_with_big_eyes	smile
1F603	128515	grinning_face_with_big_eyes	happy
1F603	128515	grinning_face_with_big_eyes	joy
1F603	128515	grinning_face_with_big_eyes	haha
1F604	128516	smile	eye
1F604	128516	smile	face
1F604	128516	smile	grinning face with smiling eyes
1F604	128516	smile	mouth
1F604	128516	smile	open
1F604	128516	smile	smile
1F604	128516	smile	happy
1F604	128516	smile	joy
1F604	128516	smile	laugh
1F604	128516	smile	pleased
1F604	128516	grinning_face_with_smiling_eyes	eye
