runes	qualified	emoji	name	group	subgroup	version	nrunes	vendor_apple	vendor_google	vendor_twitter	vendor_one	vendor_facebook	vendor_messenger	vendor_samsung	vendor_windows	unicode_version	ios_version
1F600	fully-qualified	😀	grinning face	Smileys & People	face-positive	6.1	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	6.1	6
1F601	fully-qualified	😁	beaming face with smiling eyes	Smileys & People	face-positive	6.0	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	6	6
1F602	fully-qualified	😂	face with tears of joy	Smileys & People	face-positive	6.0	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	6	6
1F923	fully-qualified	🤣	rolling on the floor laughing	Smileys & People	face-positive	9.0	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	9	10.2
1F603	fully-qualified	😃	grinning face with big eyes	Smileys & People	face-positive	6.0	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	6	6
1F604	fully-qualified	😄	grinning face with smiling eyes	Smileys & People	face-positive	6.0	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	6	6
1F605	fully-qualified	😅	grinning face with sweat	Smileys & People	face-positive	6.0	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	6	6
1F606	fully-qualified	😆	grinning squinting face	Smileys & People	face-positive	6.0	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	6	6
1F609	fully-qualified	😉	winking face	Smileys & People	face-positive	6.0	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	6	6
1F60A	fully-qualified	😊	smiling face with smiling eyes	Smileys & People	face-positive	6.0	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	6	6
1F60B	fully-qualified	😋	face savoring food	Smileys & People	face-positive	6.0	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	6	6
1F60E	fully-qualified	😎	smiling face with sunglasses	Smileys & People	face-positive	6.0	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	6	6
1F60D	fully-qualified	😍	smiling face with heart-eyes	Smileys & People	face-positive	6.0	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	6	6
1F618	fully-qualified	😘	face blowing a kiss	Smileys & People	face-positive	6.0	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	6	6
1F970	fully-qualified	🥰	smiling face with 3 hearts	Smileys & People	face-positive	11.0	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA
1F617	fully-qualified	😗	kissing face	Smileys & People	face-positive	6.1	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	6.1	6
1F619	fully-qualified	😙	kissing face with smiling eyes	Smileys & People	face-positive	6.1	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	6.1	6
1F61A	fully-qualified	😚	kissing face with closed eyes	Smileys & People	face-positive	6.0	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	6	6
263A FE0F	fully-qualified	☺️	smiling face	Smileys & People	face-positive	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
263A	non-fully-qualified	☺	smiling face	Smileys & People	face-positive	1.1	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA
1F642	fully-qualified	🙂	slightly smiling face	Smileys & People	face-positive	7.0	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	7	9.1
1F917	fully-qualified	🤗	hugging face	Smileys & People	face-positive	8.0	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	8	9.1
1F929	fully-qualified	🤩	star-struck	Smileys & People	face-positive	10.0	1	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	NA	NA
1F914	fully-qualified	🤔	thinking face	Smileys & People	face-neutral	8.0	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	8	9.1
1F928	fully-qualified	🤨	face with raised eyebrow	Smileys & People	face-neutral	10.0	1	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	NA	NA
1F610	fully-qualified	😐	neutral face	Smileys & People	face-neutral	6.0	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	6	6
1F611	fully-qualified	😑	expressionless face	Smileys & People	face-neutral	6.1	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	6.1	6
1F636	fully-qualified	😶	face without mouth	Smileys & People	face-neutral	6.0	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	6	6
1F644	fully-qualified	🙄	face with rolling eyes	Smileys & People	face-neutral	8.0	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	8	9.1
1F60F	fully-qualified	😏	smirking face	Smileys & People	face-neutral	6.0	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	6	6
1F623	fully-qualified	😣	persevering face	Smileys & People	face-neutral	6.0	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	6	6
