full_club_name	abbrev_club_name	ARS	AVL	BOU	BRE	BHA	CHE	CRY	EVE	FUL	LEE	LEI	LIV	MCI	MUN	NEW	NFO	SOU	TOT	WHU	WOL
Arsenal	ARS	—	2–1	3–2	1–1	0–3	3–1	4–1	4–0	2–1	4–1	4–2	3–2	1–3	3–2	0–0	5–0	3–3	3–1	3–1	5–0
Aston Villa	AVL	2–4	—	3–0	4–0	2–1	0–2	1–0	2–1	1–0	2–1	2–4	1–3	1–1	3–1	3–0	2–0	1–0	2–1	0–1	1–1
Bournemouth	BOU	0–3	2–0	—	0–0	0–2	1–3	0–2	3–0	2–1	4–1	2–1	1–0	1–4	0–1	1–1	1–1	0–1	2–3	0–4	0–0
Brentford	BRE	0–3	1–1	2–0	—	2–0	0–0	1–1	1–1	3–2	5–2	1–1	3–1	1–0	4–0	1–2	2–1	3–0	2–2	2–0	1–1
Brighton & Hove Albion	BHA	2–4	1–2	1–0	3–3	—	4–1	1–0	1–5	0–1	1–0	5–2	3–0	1–1	1–0	0–0	0–0	3–1	0–1	4–0	6–0
Chelsea	CHE	0–1	0–2	2–0	0–2	1–2	—	1–0	2–2	0–0	1–0	2–1	0–0	0–1	1–1	1–1	2–2	0–1	2–2	2–1	3–0
Crystal Palace	CRY	0–2	3–1	2–0	1–1	1–1	1–2	—	0–0	0–3	2–1	2–1	0–0	0–1	1–1	0–0	1–1	1–0	0–4	4–3	2–1
Everton	EVE	1–0	0–2	1–0	1–0	1–4	0–1	3–0	—	1–3	1–0	0–2	0–0	0–3	1–2	1–4	1–1	1–2	1–1	1–0	1–2
Fulham	FUL	0–3	3–0	2–2	3–2	2–1	2–1	2–2	0–0	—	2–1	5–3	2–2	1–2	1–2	1–4	2–0	2–1	0–1	0–1	1–1
Leeds United	LEE	0–1	0–0	4–3	0–0	2–2	3–0	1–5	1–1	2–3	—	1–1	1–6	1–3	0–2	2–2	2–1	1–0	1–4	2–2	2–1
Leicester City	LEI	0–1	1–2	0–1	2–2	2–2	1–3	0–0	2–2	0–1	2–0	—	0–3	0–1	0–1	0–3	4–0	1–2	4–1	2–1	2–1
Liverpool	LIV	2–2	1–1	9–0	1–0	3–3	0–0	1–1	2–0	1–0	1–2	2–1	—	1–0	7–0	2–1	3–2	3–1	4–3	1–0	2–0
Manchester City	MCI	4–1	3–1	4–0	1–2	3–1	1–0	4–2	1–1	2–1	2–1	3–1	4–1	—	6–3	2–0	6–0	4–0	4–2	3–0	3–0
Manchester United	MUN	3–1	1–0	3–0	1–0	1–2	4–1	2–1	2–0	2–1	2–2	3–0	2–1	2–1	—	0–0	3–0	0–0	2–0	1–0	2–0
Newcastle United	NEW	0–2	4–0	1–1	5–1	4–1	1–0	0–0	1–0	1–0	0–0	0–0	0–2	3–3	2–0	—	2–0	3–1	6–1	1–1	2–1
Nottingham Forest	NFO	1–0	1–1	2–3	2–2	3–1	1–1	1–0	2–2	2–3	1–0	2–0	1–0	1–1	0–2	1–2	—	4–3	0–2	1–0	1–1
Southampton	SOU	1–1	0–1	0–1	0–2	1–3	2–1	0–2	1–2	0–2	2–2	1–0	4–4	1–4	0–1	1–4	0–1	—	3–3	1–1	1–2
Tottenham Hotspur	TOT	0–2	0–2	2–3	1–3	2–1	2–0	1–0	2–0	2–1	4–3	6–2	1–2	1–0	2–2	1–2	3–1	4–1	—	2–0	1–0
West Ham United	WHU	2–2	1–1	2–0	0–2	0–2	1–1	1–2	2–0	3–1	3–1	0–2	1–2	0–2	1–0	1–5	4–0	1–0	1–1	—	2–0
Wolverhampton Wanderers	WOL	0–2	1–0	0–1	2–0	2–3	1–0	2–0	1–1	0–0	2–4	0–4	3–0	0–3	0–1	1–1	1–0	1–0	1–0	1–0	—
